label,category,expected_continuity,covariance_source,point_gap_over_spacing,pooled_mahalanobis_q0.1,symmetric_mahalanobis_q0.1,ellipsoid_k2_margin_q0.1,directional_reach_ratio_q0.1,tangent_reach_ratio_q0.1,normal_reach_ratio_q0.1,bridge_endpoint_ratio_unweighted_q0.1,bridge_endpoint_ratio_opacity_q0.1,facing_opacity_mass_per_gap
density_gradient_seed_2_stage3_final_split,actual_positive_conflict,True,production_knn_isotropic_identity_rotation_constant_opacity,5.162964747003334,1.422766906099845,2.567279474562046,-0.10390504747311559,1.0971458982958333,0.575258260758247,0.08206314127015696,0.2574392189768973,0.25743921897689725,0.790243629373626
mild_curved_sheet_seed_0_stage3_final_split,actual_positive_conflict,True,production_knn_isotropic_identity_rotation_constant_opacity,4.165131916911563,0.7871313155306098,1.1324220387736426,-0.013977000055375582,0.5629010153948842,0.29008686143813256,0.13003199634617602,0.6671729734148968,0.6671729734148968,1.0083714234708538
curved_annulus_missing_r07_r52,actual_positive_curved_missing,True,production_knn_isotropic_identity_rotation_constant_opacity,4.186199865335946,2.8631603623150563,4.096039213082618,-0.05666664173258073,2.0323095136891207,0.7509655484189709,1.8883082184538424,0.22300473672781249,0.22300473672781249,0.11466246606490671
curved_annulus_missing_r05_r50,actual_positive_curved_missing,True,production_knn_isotropic_identity_rotation_constant_opacity,2.096329410659484,0.9248590743323368,1.3884788752964514,-0.02925573515665618,0.6667814421304967,0.18033915668779987,0.5044336727522637,0.10094392907555609,0.10094392907555612,0.8014007681509792
curved_annulus_missing_r05_r52,actual_positive_curved_missing,True,production_knn_isotropic_identity_rotation_constant_opacity,7.314229050825297,4.294104598022097,6.209262615725835,-0.1386665135622444,3.058744186321444,1.5661193124302,2.6423057400131245,0.01626309618805261,0.016263096188052606,0.13125101679604617
curved_annulus_missing_r07_r50,actual_positive_curved_missing,True,production_knn_isotropic_identity_rotation_constant_opacity,3.3465205958267967,2.341406932974766,4.7818337100089225,-0.07562513078726485,1.9063156330803273,1.2729994801562017,1.1788950088779289,0.1501866004823876,0.15018660048238763,0.28686511034689177
curved_annulus_face_smooth_r00_r02,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.493991756165941,0.9232545661988532,1.3254313353646305,0.027216646118184508,0.6560897541224762,0.3499966635388503,0.1605468302355253,0.9178609538928832,0.9178609538928832,0.6425738268219537
curved_annulus_face_smooth_r02_r06,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.9163776113625697,0.8310530451922215,1.2498609338938782,0.07789855984999425,0.5992980508636083,0.1454638231150104,0.4018338536008877,0.9850082637987089,0.9850082637987089,0.6887995310389076
curved_annulus_face_smooth_r02_r2,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.9855140913960998,0.8434509523782787,1.3137442608366279,-0.007605856337063754,0.6148186220634988,0.3872034669813831,0.14812035231801096,0.542093231895853,0.542093231895853,1.3296304526067115
curved_annulus_face_smooth_r05_r07,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.7307335497276484,0.9555353327105772,1.3583972581831394,0.05200391369965952,0.6768384474529601,0.6136432247333562,0.10755933141071033,0.8933895030740269,0.8933895030740268,0.6933476271889653
curved_annulus_face_smooth_r06_r07,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.3583817937331149,0.9128136175709259,1.2988914227864605,0.026906602879165166,0.6467725462827092,0.328254568185191,0.08934506338778091,0.7578979447949993,0.7578979447949993,0.44170203308679185
curved_annulus_face_smooth_r06_r2,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,4.529727126310616,1.0606627651550355,1.7787482617619377,-0.09836027403649054,0.8384396498724235,0.6516763049220671,0.1114859316069325,0.5881593373235317,0.5881593373235318,0.4768499160697309
curved_annulus_face_smooth_r07_r2,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,13.08796357965003,5.854175643037697,9.11562974201677,-0.3303880777425995,4.278997009266861,3.8503758601983216,1.568395029798817,0.0,0.0,0.1558684043995903
curved_annulus_face_smooth_r50_r52,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,3.2807861499623847,1.1603413294137142,1.9418237764093407,0.006744360913308502,0.8643422901307398,0.5458951532486239,0.288095680986559,0.3690437200639618,0.3690437200639618,0.32918939261322555
curved_annulus_face_smooth_r50_r54,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.3828302750064423,0.8222015275958889,1.168036567369843,0.027938044685135947,0.5822575859416739,0.43873580068888346,0.2803777534610127,0.8132960497099248,0.8132960497099248,0.7810069099007603
curved_annulus_face_smooth_r52_r53,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,2.669964458240922,1.550302104865027,2.410832987934017,0.015923185448331552,1.1247995767015264,0.45460611609229346,1.0130303270288892,0.783636695630707,0.7836366956307071,0.17977767401302525
curved_annulus_face_smooth_r52_r7,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,12.57310163845377,9.561072951491472,13.933950070646379,-0.3654243478774833,6.761909163076608,6.585326079056421,2.123728336352669,0.0,0.0,0.15270694974164864
curved_annulus_face_smooth_r53_r57,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.7498068469751755,0.877584121332053,1.3650871526512585,0.06307260786826566,0.6392103621767848,0.17109385024543483,0.5132456620670541,0.9180136205079407,0.9180136205079408,0.7543689763712113
curved_annulus_face_smooth_r53_r7,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,3.3213994784223377,1.293732763961562,2.189985133159783,-0.06376267747254416,0.9668319315033248,0.9075188897505178,0.1016263613013763,0.3331770171080182,0.3331770171080182,0.578069579547233
curved_annulus_face_smooth_r57_r7,actual_positive_face_smooth,True,production_knn_isotropic_identity_rotation_constant_opacity,1.8398643007158308,1.30209499024018,2.0145842986731624,-0.020719851689068394,0.9598973968081421,0.7679382210600052,0.06745712728083285,0.5411829355251129,0.5411829355251127,1.4348884311592232
disconnected_gap_0.02_seed_0_first_false_merge,actual_negative_disconnected,False,production_knn_isotropic_identity_rotation_constant_opacity,2.386780667787583,1.0636635401300547,1.6654268275059665,0.009422997154063847,0.7599888789299565,0.04620542726622078,0.5890966579739834,0.7397990865141411,0.7397990865141411,1.8602463393151414
disconnected_gap_0.05_seed_0_first_false_merge,actual_negative_disconnected,False,production_knn_isotropic_identity_rotation_constant_opacity,3.0798918162580504,1.4445755834292264,2.3824896077465176,-0.018233369531287985,1.0338031890347927,0.04461347849381257,0.9976090623661397,0.6915721718893181,0.6915721718893181,1.4416090774884516
disconnected_gap_0.1_seed_1_first_false_merge,actual_negative_disconnected,False,production_knn_isotropic_identity_rotation_constant_opacity,3.495713018900748,1.5560178484120482,2.4960691140619518,-0.03991740993273056,1.204184828630025,0.09819753570456084,1.1767065241827808,0.29939176246239374,0.29939176246239385,1.4417659495357729
disconnected_gap_0.1_seed_2_first_false_merge,actual_negative_disconnected,False,production_knn_isotropic_identity_rotation_constant_opacity,3.7530409536320435,1.545274967469157,2.1910734929895144,-0.0422299900953719,1.094798576688466,0.1611256494434615,0.9679899142767662,0.37525420324744135,0.3752542032474414,1.183040647532275
disconnected_gap_0.1_seed_4_first_false_merge,actual_negative_disconnected,False,production_knn_isotropic_identity_rotation_constant_opacity,3.9070105690296604,1.6670454607586758,2.990771523141382,-0.08521364626012891,1.2598768996708127,0.07406356143339869,1.09877111336804,0.3559113621248502,0.3559113621248502,1.1671327526335604
close_parallel_sheets_r0_r1,actual_negative_close_parallel_sheets,False,production_knn_isotropic_identity_rotation_constant_opacity,1.978158689632925,0.9387601643022581,1.402646811334977,0.01984792790798064,0.6701903378670524,0.6580899689533257,0.04694222046770197,0.8237307474865728,0.8237307474865729,1.3952369010962191
close_parallel_sheets_r2_r3,actual_negative_close_parallel_sheets,False,production_knn_isotropic_identity_rotation_constant_opacity,1.8323665178334179,0.7965115362620757,1.1421538473857975,0.0850971941336859,0.5656706953187838,0.5648270577268518,0.011056856248125505,0.8024566626333434,0.802456662633343,1.5062488716850229
close_parallel_sheets_r4_r5,actual_negative_close_parallel_sheets,False,production_knn_isotropic_identity_rotation_constant_opacity,1.8780707983783256,1.0218113495824306,1.9797922782925441,-0.009689474125569093,0.8346143130300367,0.8340777880528609,0.010727154198802663,0.7280672445112732,0.7280672445112734,1.4695931603767023
close_parallel_sheets_r6_r7,actual_negative_close_parallel_sheets,False,production_knn_isotropic_identity_rotation_constant_opacity,2.183245491910147,0.9003759578734833,1.3154299952697404,0.050338732579802814,0.6432346796061613,0.6425254646486827,0.014293116263441352,0.9220903582031111,0.9220903582031114,1.2641729985138974
crease_r0_r4,actual_negative_crease,False,production_knn_isotropic_identity_rotation_constant_opacity,0.7804850598994654,0.7071070328032745,1.0000003558397879,0.03951807491774833,0.500000177919894,0.21217271584830721,0.26393865845741693,0.9143872539907598,0.9143872539907597,3.228761355565989
crease_r1_r5,actual_negative_crease,False,production_knn_isotropic_identity_rotation_constant_opacity,24.27171316666268,9.217035211267044,17.51976077855703,-0.9604636614131206,7.60935543802077,0.30700342191972485,7.590580698327735,0.0,0.0,0.08404845533532221
crease_r2_r6,actual_negative_crease,False,production_knn_isotropic_identity_rotation_constant_opacity,1.881685280834079,0.8084204208403309,1.2318625508522176,0.008106714216357926,0.5849761033522509,0.27370729438359076,0.345638343596963,0.658258912600437,0.6582589126004368,1.339225015823571
crease_r3_r7,actual_negative_crease,False,production_knn_isotropic_identity_rotation_constant_opacity,22.429082132900973,11.784696216084619,18.976703321715345,-0.9534632982440211,9.06867252869439,0.30490646670143656,9.012570948972687,0.0,0.0,0.0856031463357822
